MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",86.787753,175.804082,82.966733,13.179859,0.025752,0.006636,3.821020,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.873418,89.126356,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.535909,-nan,0.000000,97.678027,1.109055,-nan,0.000000,-nan,0.000000,0.000000,3.401023,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.966733,9.240643,3.485482,0.453735,0.000000,82.966733,6.196240,3.571334,3.412285,6,6
"Beatles/01_-_Please_Please_Me/02_-_Misery",70.881139,110.184490,67.230139,26.972794,1.770172,0.375896,3.650999,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.543177,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.908667,20.604316,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.816579,10.304393,3.935651,1.146309,0.000000,67.230139,19.425847,4.575955,2.970992,4,13
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",50.164541,177.580408,48.185532,48.019078,1.678944,0.137437,1.979009,-nan,0.000000,-nan,0.000000,0.000000,1.196858,59.058049,63.508937,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.787431,-nan,0.000000,-nan,0.000000,-nan,0.000000,37.612785,28.390328,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.399258,21.885452,15.371610,3.548290,0.000000,48.185532,26.793756,2.935246,18.290076,8,24
"Beatles/01_-_Please_Please_Me/04_-_Chains",59.729677,146.494694,54.958724,40.139264,0.000000,0.131059,4.770954,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.779594,71.809188,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,5.534284,22.769059,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.519740,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,57.756303,14.878424,12.783791,8.301223,1.378246,54.958724,15.932088,11.904015,12.303161,7,11
"Beatles/01_-_Please_Please_Me/05_-_Boys",74.008664,147.513469,70.842432,24.008894,1.695744,0.286699,3.166232,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.376056,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.842432,10.988195,11.059723,1.960976,0.000000,70.842432,10.988195,10.723531,2.297169,3,6
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",54.297982,138.919232,51.234237,44.419669,1.016751,0.265597,3.063745,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.075224,47.810678,-nan,0.000000,0.000000,2.590782,-nan,0.000000,-nan,0.000000,0.000000,5.316064,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,13.576492,4.268376,-nan,0.000000,-nan,0.000000,-nan,0.000000,39.681377,12.354255,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,40.518805,24.330503,60.466279,21.087218,7.214111,3.175960,0.969106,51.234237,33.829348,2.392009,8.198313,14,18
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",85.048879,123.376327,81.464412,14.369208,0.581913,0.000000,3.584467,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.177280,88.106312,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.734575,4.159316,-nan,0.000000,88.950217,4.149906,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.464412,2.843621,7.982499,3.543088,0.000000,81.464412,2.137884,10.347627,1.883697,7,7
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",52.252182,142.759184,49.055331,45.281261,2.465470,0.001087,3.196851,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.675915,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.386114,0.000000,21.646263,1.304215,0.000000,49.055331,22.330783,18.801563,4.148914,3,6
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",89.148785,125.753469,85.677462,10.485953,0.290855,0.074407,3.471323,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.918165,83.076620,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.123436,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.768621,11.254214,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.777014,1.672705,2.149450,4.473597,0.090649,85.677462,3.772257,3.529347,3.184350,8,10
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",81.511034,158.066939,77.571308,17.624287,0.810628,0.054051,3.939726,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.200215,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.581307,33.792221,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.322247,4.657201,3.608543,0.607605,0.000000,77.571308,10.679987,3.821523,3.122778,5,9
