MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",96.185635,175.804082,93.184149,2.988195,0.000000,0.826170,3.001486,96.892875,96.172344,96.172344,93.184149,0.000000,2.988195,-0.000000,3,4
"Beatles/01_-_Please_Please_Me/02_-_Misery",97.081100,110.184490,93.366859,2.606246,0.000000,0.312655,3.714241,97.284400,95.973105,95.973105,93.366859,0.000000,2.606246,-0.000000,4,4
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",95.562981,177.580408,93.466291,3.928225,0.489038,0.019756,2.096690,95.487227,97.883554,97.394516,93.466291,0.000000,3.928225,0.000000,5,7
"Beatles/01_-_Please_Please_Me/04_-_Chains",95.534944,146.494694,92.032011,3.065976,0.000000,1.399080,3.502932,96.775982,95.097988,95.097988,92.032011,0.000000,3.065976,0.000000,3,3
"Beatles/01_-_Please_Please_Me/05_-_Boys",91.246008,147.513469,88.205732,7.479838,0.861500,0.412654,3.040276,91.360340,96.547070,95.685570,88.205732,0.000000,7.479838,0.000000,3,4
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",93.679253,147.774694,90.861957,5.759494,0.248719,0.312534,2.817296,93.797665,96.870170,96.621451,90.861957,0.000000,5.759494,0.000000,6,6
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",94.557677,123.376327,91.051072,5.288126,0.076335,0.077862,3.506605,94.436103,96.415533,96.339198,91.051072,0.000000,5.288126,-0.000000,7,7
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",92.273740,142.759184,89.076889,7.341663,0.383509,0.001088,3.196851,92.019620,96.802061,96.418552,89.076889,0.000000,7.341663,-0.000000,3,3
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",93.859820,125.753469,93.545920,2.908350,0.000000,3.231830,0.313899,96.984737,96.454270,96.454270,93.545920,0.000000,2.908350,0.000000,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",98.017005,158.066939,94.500598,1.505625,0.000000,0.477370,3.516407,98.431742,96.006223,96.006223,94.500598,0.000000,1.505625,-0.000000,5,5
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",88.420684,119.353469,84.644464,10.869943,0.642446,0.066926,3.776221,88.027489,96.156853,95.514407,84.644464,0.000000,10.869943,0.000000,9,9
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",90.717934,125.152653,87.825937,7.951743,0.000000,1.330323,2.891997,91.697708,95.777680,95.777680,87.825937,0.000000,7.951743,0.000000,4,5
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",95.298246,112.875102,90.481974,4.431907,0.000000,0.269847,4.816272,95.330602,94.913881,94.913881,90.481974,0.000000,4.431907,-0.000000,6,6
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",95.586013,153.155918,94.606089,3.880844,0.003645,0.529497,0.979924,96.055979,98.490579,98.486934,94.606089,0.000000,3.880844,0.000000,3,3
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",87.409228,133.746939,84.263765,11.731287,0.448287,0.411198,3.145463,87.371264,96.443339,95.995052,84.263765,0.000000,11.731287,-0.000000,8,10
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",95.416487,124.551837,91.930282,4.259871,0.000000,0.323642,3.486205,95.571406,96.190153,96.190153,91.930282,0.000000,4.259871,0.000000,4,5
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",93.656733,129.567347,90.706635,5.514108,0.562447,0.266713,2.950098,93.721477,96.783190,96.220743,90.706635,0.000000,5.514108,-0.000000,7,7
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",94.126450,149.394286,91.019846,5.132010,0.000000,0.741540,3.106604,94.662599,96.151856,96.151856,91.019846,0.000000,5.132010,-0.000000,6,6
"Beatles/02_-_With_the_Beatles/05_-_Little_Child",94.265151,108.016327,90.524542,4.717912,0.964484,0.052454,3.740609,94.093570,96.206937,95.242454,90.524542,0.000000,4.717912,0.000000,5,5
"Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",87.732517,136.751020,85.399927,10.756658,0.000000,1.510825,2.332590,88.813395,96.156584,96.156584,85.399927,0.000000,10.756658,0.000000,10,9
"Beatles/02_-_With_the_Beatles/07_-_Please_Mister_Postman",98.339518,156.734694,94.724703,1.578556,0.000000,0.081926,3.614815,98.360849,96.303259,96.303259,94.724703,0.000000,1.578556,0.000000,5,5
"Beatles/02_-_With_the_Beatles/08_-_Roll_Over_Beethoven",93.123031,167.627755,90.531426,5.797721,0.900854,0.178394,2.591605,93.110589,97.230000,96.329147,90.531426,0.000000,5.797721,-0.000000,3,3
"Beatles/02_-_With_the_Beatles/09_-_Hold_Me_Tight",97.797760,152.581224,95.269654,2.118682,0.000000,0.083558,2.528106,97.824502,97.388336,97.388336,95.269654,0.000000,2.118682,0.000000,5,5
"Beatles/02_-_With_the_Beatles/10_-_You_Really_Got_A_Hold_On_Me",94.670121,182.909388,92.724645,4.097207,0.000000,1.232672,1.945476,95.768304,96.821851,96.821851,92.724645,0.000000,4.097207,0.000000,5,5
"Beatles/02_-_With_the_Beatles/11_-_I_Wanna_Be_Your_Man",92.910866,118.987755,88.571313,6.313922,0.000000,0.775211,4.339554,93.345727,94.885235,94.885235,88.571313,0.000000,6.313922,-0.000000,5,4
"Beatles/02_-_With_the_Beatles/12_-_Devil_In_Her_Heart",93.156097,147.670204,91.337987,5.327039,0.000000,1.516864,1.818110,94.489176,96.665026,96.665026,91.337987,0.000000,5.327039,0.000000,4,4
"Beatles/02_-_With_the_Beatles/13_-_Not_A_Second_Time",89.600363,128.339592,86.583786,5.755923,0.622295,4.021419,3.016577,93.138898,92.962004,92.339709,86.583786,0.000000,5.755923,0.000000,6,5
"Beatles/02_-_With_the_Beatles/14_-_Money",83.395193,167.444898,83.173317,15.721350,0.000000,0.883457,0.221876,84.102934,98.894667,98.894667,83.173317,0.000000,15.721350,0.000000,4,3
"Beatles/03_-_A_Hard_Day's_Night/01_-_A_Hard_Day's_Night",93.123616,152.555102,89.975567,5.888896,0.946319,0.041169,3.148049,92.939613,96.810783,95.864463,89.975567,0.000000,5.888896,-0.000000,6,6
"Beatles/03_-_A_Hard_Day's_Night/02_-_I_Should_Have_Known_Better",94.554361,164.101224,91.975564,5.398093,0.000000,0.047547,2.578796,94.456311,97.373657,97.373657,91.975564,0.000000,5.398093,0.000000,5,5
"Beatles/03_-_A_Hard_Day's_Night/03_-_If_I_Fell",93.255122,142.053878,91.183282,4.783272,0.000000,1.961605,2.071840,95.015688,95.966554,95.966554,91.183282,0.000000,4.783272,-0.000000,9,8
"Beatles/03_-_A_Hard_Day's_Night/04_-_I'm_Happy_Just_To_Dance_With_You",93.142873,118.700408,89.836926,6.538211,0.000000,0.318916,3.305947,93.215874,96.375137,96.375137,89.836926,0.000000,6.538211,-0.000000,6,6
"Beatles/03_-_A_Hard_Day's_Night/05_-_And_I_Love_Her",98.027270,151.092245,95.399331,1.187746,0.000000,0.784984,2.627939,98.770285,96.587077,96.587077,95.399331,0.000000,1.187746,0.000000,11,11
"Beatles/03_-_A_Hard_Day's_Night/06_-_Tell_Me_Why",83.155862,130.089796,79.898388,15.159832,0.000000,1.684306,3.257474,84.052056,95.058220,95.058220,79.898388,0.000000,15.159832,0.000000,6,6
"Beatles/03_-_A_Hard_Day's_Night/07_-_Can't_Buy_Me_Love",96.153829,134.948571,92.840871,2.633962,0.640240,0.571968,3.312958,96.593456,96.115073,95.474834,92.840871,0.000000,2.633962,0.000000,6,6
"Beatles/03_-_A_Hard_Day's_Night/08_-_Any_Time_At_All",95.997542,133.407347,92.248874,3.219343,0.000000,0.783115,3.748667,96.627838,95.468217,95.468217,92.248874,0.000000,3.219343,0.000000,6,5
"Beatles/03_-_A_Hard_Day's_Night/09_-_I'll_Cry_Instead",97.665311,107.755102,94.377150,1.254133,0.022277,1.058279,3.288161,98.665591,95.653560,95.631283,94.377150,0.000000,1.254133,-0.000000,6,6
"Beatles/03_-_A_Hard_Day's_Night/10_-_Things_We_Said_Today",87.469274,158.850612,84.397777,11.803984,0.000000,0.726742,3.071498,87.729971,96.201760,96.201760,84.397777,0.000000,11.803984,0.000000,7,7
"Beatles/03_-_A_Hard_Day's_Night/11_-_When_I_Get_Home",98.265331,138.370612,94.672102,1.329943,0.000000,0.404726,3.593229,98.614672,96.002045,96.002045,94.672102,0.000000,1.329943,-0.000000,5,5
"Beatles/03_-_A_Hard_Day's_Night/12_-_You_Can't_Do_That",96.675656,157.648980,93.768540,2.899284,0.000000,0.425060,2.907116,97.000777,96.667824,96.667824,93.768540,0.000000,2.899284,0.000000,8,7
"Beatles/03_-_A_Hard_Day's_Night/13_-_I'll_Be_Back",96.621599,140.434286,95.544522,2.707369,0.493691,0.177341,1.077077,96.758275,98.745582,98.251891,95.544522,0.000000,2.707369,-0.000000,8,8
"Beatles/04_-_Beatles_for_Sale/01_-_No_Reply",97.386017,137.848163,93.723113,1.389345,0.828284,0.396354,3.662904,97.688542,95.940742,95.112458,93.723113,0.000000,1.389345,-0.000000,6,6
"Beatles/04_-_Beatles_for_Sale/02_-_I'm_a_Loser",92.373292,153.521633,88.386507,7.183293,0.363508,0.079907,3.986785,92.133284,95.933308,95.569800,88.386507,0.000000,7.183293,-0.000000,5,6
"Beatles/04_-_Beatles_for_Sale/03_-_Baby's_In_Black",95.110895,127.582041,92.626592,3.374702,0.000000,1.514404,2.484303,96.484733,96.001294,96.001294,92.626592,0.000000,3.374702,0.000000,5,5
"Beatles/04_-_Beatles_for_Sale/04_-_Rock_and_Roll_Music",97.908177,153.756735,95.510775,1.193970,0.000000,0.897853,2.397403,98.765345,96.704745,96.704745,95.510775,0.000000,1.193970,0.000000,3,3
"Beatles/04_-_Beatles_for_Sale/05_-_I'll_Follow_the_Sun",89.449577,111.046531,85.970656,9.567013,0.000000,0.983410,3.478920,89.986135,95.537670,95.537670,85.970656,0.000000,9.567013,0.000000,5,5
"Beatles/04_-_Beatles_for_Sale/06_-_Mr._Moonlight",96.142125,157.204898,93.317765,0.540148,3.235239,0.082488,2.824360,96.111582,97.093152,93.857913,93.317765,0.000000,0.540148,0.000000,5,5
"Beatles/04_-_Beatles_for_Sale/07_-_Kansas_City-_Hey,_Hey,_Hey,_Hey",95.045135,153.469388,90.017328,3.772979,0.197724,0.984161,5.027808,95.775310,93.988031,93.790307,90.017328,0.000000,3.772979,0.000000,4,3
"Beatles/04_-_Beatles_for_Sale/08_-_Eight_Days_a_Week",95.603665,165.433469,93.110552,4.089080,0.000000,0.307255,2.493113,95.793111,97.199632,97.199632,93.110552,0.000000,4.089080,0.000000,5,5
"Beatles/04_-_Beatles_for_Sale/09_-_Words_of_Love",93.975276,134.739592,92.409214,3.331888,2.668999,0.023837,1.566062,93.902164,98.410101,95.741102,92.409214,0.000000,3.331888,0.000000,3,3
"Beatles/04_-_Beatles_for_Sale/10_-_Honey_Don't",94.441226,179.617959,92.315103,4.186012,1.306105,0.066657,2.126123,94.384753,97.807220,96.501115,92.315103,0.000000,4.186012,0.000000,4,5
"Beatles/04_-_Beatles_for_Sale/11_-_Every_Little_Thing",93.676850,124.551837,89.836432,6.024822,0.000000,0.298328,3.840418,93.715060,95.861254,95.861254,89.836432,0.000000,6.024822,-0.000000,5,5
"Beatles/04_-_Beatles_for_Sale/12_-_I_Don't_Want_to_Spoil_the_Party",95.042372,156.186122,92.940572,3.863565,0.000000,1.094063,2.101800,96.008885,96.804137,96.804137,92.940572,0.000000,3.863565,0.000000,7,7
"Beatles/04_-_Beatles_for_Sale/13_-_What_You're_Doing",96.305152,154.697143,89.172805,1.401668,0.556496,1.736684,7.132348,97.851264,91.130969,90.574472,89.172805,0.000000,1.401668,0.000000,5,5
"Beatles/04_-_Beatles_for_Sale/14_-_Everybody's_Trying_to_Be_My_Baby",97.150410,143.751837,96.842726,1.278871,0.790707,0.780012,0.307684,97.907663,98.912305,98.121598,96.842726,0.000000,1.278871,-0.000000,3,3
"Beatles/05_-_Help!/01_-_Help!",97.405419,141.087347,93.897838,2.418805,0.000000,0.175776,3.507581,97.488695,96.316643,96.316643,93.897838,0.000000,2.418805,0.000000,7,7
"Beatles/05_-_Help!/02_-_The_Night_Before",96.991881,156.708571,94.578516,2.302853,0.000000,0.705265,2.413365,97.623017,96.881370,96.881370,94.578516,0.000000,2.302853,0.000000,7,7
"Beatles/05_-_Help!/03_-_You've_Got_To_Hide_Your_Love_Away",95.814766,131.448163,93.165058,3.018620,0.000000,1.166614,2.649708,96.861609,96.183677,96.183677,93.165058,0.000000,3.018620,0.000000,4,4
"Beatles/05_-_Help!/04_-_I_Need_You",96.032591,151.510204,93.115930,3.748201,0.194450,0.024758,2.916661,95.937865,97.058581,96.864131,93.115930,0.000000,3.748201,0.000000,6,7
"Beatles/05_-_Help!/05_-_Another_Girl",92.814023,128.026122,88.293248,6.199939,0.986037,0.000000,4.520775,92.473780,95.479225,94.493188,88.293248,0.000000,6.199939,0.000000,5,6
"Beatles/05_-_Help!/06_-_You're_Going_To_Lose_That_Girl",96.759854,140.460408,93.818671,2.134375,0.466334,0.639437,2.941183,97.302711,96.419380,95.953045,93.818671,0.000000,2.134375,0.000000,10,10
"Beatles/05_-_Help!/07_-_Ticket_To_Ride",96.110429,192.496327,93.402044,3.423998,0.465573,0.000000,2.708385,96.002152,97.291615,96.826043,93.402044,0.000000,3.423998,0.000000,6,6
"Beatles/05_-_Help!/08_-_Act_Naturally",95.939944,153.182041,93.666695,1.357975,0.485581,2.216501,2.273249,98.069782,95.510250,95.024670,93.666695,0.000000,1.357975,-0.000000,4,4
"Beatles/05_-_Help!/09_-_It's_Only_Love",97.145145,118.804898,93.685458,2.517203,0.224472,0.113180,3.459687,97.156739,96.427133,96.202661,93.685458,0.000000,2.517203,-0.000000,6,6
"Beatles/05_-_Help!/10_-_You_Like_Me_Too_Much",96.603867,158.824490,94.279305,2.589292,0.000000,0.806841,2.324562,97.327005,96.868598,96.868598,94.279305,0.000000,2.589292,0.000000,7,7
"Beatles/05_-_Help!/11_-_Tell_Me_What_You_See",94.765168,159.712653,92.894197,3.997935,0.037217,1.199679,1.870971,95.837017,96.929350,96.892132,92.894197,0.000000,3.997935,0.000000,3,3
"Beatles/05_-_Help!/12_-_I've_Just_Seen_a_Face",89.419988,127.190204,89.127891,7.370255,0.000000,3.209757,0.292097,92.362284,96.498145,96.498145,89.127891,0.000000,7.370255,-0.000000,5,5
