MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",95.481440,174.001633,91.320560,4.110683,0.000000,0.406938,4.161819,95.692518,95.431243,95.431243,91.320560,0.000000,4.110683,-0.000000,3,4
"1302",81.979652,158.850612,79.209026,17.070112,0.918375,0.000000,2.802488,81.492853,97.197512,96.279138,79.209026,0.000000,17.070112,0.000000,6,7
"1305",82.621808,289.986667,82.460436,16.640672,0.737519,0.000000,0.161373,82.593719,99.838627,99.101108,82.460436,0.000000,16.640672,0.000000,4,7
"1306",82.932431,154.697143,81.844386,14.576270,2.491299,0.000000,1.088045,82.744686,98.911955,96.420656,81.844386,0.000000,14.576270,0.000000,9,9
"1309",63.790533,258.638367,61.391926,33.842664,1.510325,0.841643,2.413442,63.457522,96.744915,95.234590,61.391926,0.000000,33.842664,0.000000,4,6
"1310",60.771389,132.054807,57.459440,31.332948,7.456307,0.397853,3.353453,59.698929,96.248694,88.792387,57.459440,0.000000,31.332948,0.000000,7,6
"1311",92.294685,323.683265,91.625453,7.686008,0.017633,0.001674,0.669232,92.244326,99.329094,99.311461,91.625453,0.000000,7.686008,-0.000000,2,6
"1312",65.387343,147.644082,52.869497,30.401359,0.019060,4.162382,12.547703,63.476469,83.289915,83.270855,52.869497,0.000000,30.401359,0.000000,5,5
"1313",72.688027,167.444898,68.668752,8.995957,3.499617,14.789586,4.046088,84.604599,81.164326,77.664709,68.668752,0.000000,8.995957,-0.000000,4,5
"1318",70.267442,228.988390,69.244338,20.128149,2.657602,6.946806,1.023104,75.240977,92.030090,89.372487,69.244338,0.000000,20.128149,0.000000,7,8
"1319",79.225482,223.869388,78.763640,20.370057,0.404461,0.000000,0.461842,79.129091,99.538158,99.133697,78.763640,0.000000,20.370057,0.000000,5,6
"1321",72.647349,168.751020,70.607634,25.716197,0.171246,1.465207,2.039716,73.172265,96.495077,96.323831,70.607634,0.000000,25.716197,0.000000,7,6
"1322",42.149085,208.796735,40.724227,57.045501,0.805414,0.000000,1.424858,41.312877,98.575142,97.769728,40.724227,0.000000,57.045501,0.000000,2,10
"1324",89.378008,237.533605,87.499873,10.140802,0.386808,0.080234,1.892283,89.260553,98.027483,97.640675,87.499873,0.000000,10.140802,-0.000000,5,6
"1327",75.782173,171.937959,71.840067,18.992612,3.291875,1.933339,3.942106,76.324470,94.124555,90.832680,71.840067,0.000000,18.992612,-0.000000,4,7
"1329",81.832227,216.737959,80.554186,14.747250,0.000000,3.403009,1.295555,84.525679,95.301436,95.301436,80.554186,0.000000,14.747250,0.000000,6,5
"1330",88.022901,198.542154,84.725304,10.534418,0.479938,0.941511,3.318829,88.495513,95.739660,95.259722,84.725304,0.000000,10.534418,0.000000,4,5
"1331",90.573629,128.040249,88.473258,4.341306,5.053630,0.000000,2.131806,90.400419,97.868194,92.814565,88.473258,0.000000,4.341306,0.000000,4,5
"1332",92.797942,256.600816,92.041789,4.711606,2.490134,0.000000,0.756471,92.743366,99.243529,96.753394,92.041789,0.000000,4.711606,-0.000000,6,4
"1333",85.882552,142.106122,83.517580,13.501463,0.611676,0.000000,2.369281,85.544366,97.630719,97.019043,83.517580,0.000000,13.501463,0.000000,6,6
"1334",94.751840,260.702041,92.556079,4.516608,0.554505,0.176264,2.196544,94.805634,97.627192,97.072687,92.556079,0.000000,4.516608,0.000000,7,8
"1335",76.329814,224.574694,72.810398,23.639624,0.027151,0.003411,3.519416,75.469042,96.477173,96.450021,72.810398,0.000000,23.639624,0.000000,6,8
"1336",85.313906,182.987755,82.987108,13.149865,0.000000,1.536229,2.326798,86.321740,96.136973,96.136973,82.987108,0.000000,13.149865,-0.000000,4,7
"1337",84.718968,186.174694,79.579420,14.420632,0.363184,0.497217,5.139548,84.333077,94.363236,94.000052,79.579420,0.000000,14.420632,-0.000000,8,9
"1339",90.938058,243.304626,89.766286,8.796147,0.147562,0.116332,1.173673,90.939409,98.709995,98.562433,89.766286,0.000000,8.796147,-0.000000,10,11
"1340",80.458665,261.520136,78.883261,18.566137,0.715050,0.252449,1.583104,80.358279,98.164447,97.449397,78.883261,0.000000,18.566137,-0.000000,5,7
"1342",78.037196,188.081633,72.700180,18.579333,3.383470,0.000000,5.337016,76.798953,94.662984,91.279514,72.700180,0.000000,18.579333,0.000000,5,6
"1344",83.411983,177.449796,80.808251,16.267093,0.292862,0.000000,2.631794,82.992441,97.368206,97.075344,80.808251,0.000000,16.267093,-0.000000,8,8
"1345",81.435876,150.204082,78.613473,17.118964,0.293357,1.149085,2.825121,81.867037,96.025794,95.732437,78.613473,0.000000,17.118964,0.000000,5,7
"1346",83.908943,261.982041,81.793515,15.601467,0.000000,0.489591,2.115428,83.981242,97.394982,97.394982,81.793515,0.000000,15.601467,-0.000000,7,8
"1347",82.764009,121.736372,79.597656,16.347375,0.858738,0.000000,3.196231,82.225781,96.803769,95.945031,79.597656,0.000000,16.347375,0.000000,9,11
"1350",87.690833,240.039184,82.218811,11.764428,0.177056,0.351359,5.488346,87.317920,94.160295,93.983240,82.218811,0.000000,11.764428,0.000000,3,3
"1353",10.096493,163.160816,8.055263,86.035955,3.867552,0.000000,2.041230,8.223116,97.958770,94.091218,8.055263,0.000000,86.035955,0.000000,9,10
"1354",83.030635,200.635578,82.165787,15.762080,1.168690,0.020863,0.882581,82.914876,99.096556,97.927866,82.165787,0.000000,15.762080,-0.000000,6,6
"1355",86.824263,241.136327,86.449921,9.993450,3.182287,0.000000,0.374342,86.774755,99.625658,96.443370,86.449921,0.000000,9.993450,-0.000000,4,6
"1357",87.996123,147.382857,84.369245,7.242668,0.269679,4.491531,3.626878,91.823883,91.881591,91.611912,84.369245,0.000000,7.242668,-0.000000,4,5
"1358",53.271381,154.321610,49.394564,18.306958,0.328686,28.078972,3.890820,72.606811,68.030208,67.701522,49.394564,0.000000,18.306958,-0.000000,4,3
"1359",90.471839,166.373878,87.117647,8.046211,1.468607,0.013343,3.354192,90.153601,96.632465,95.163858,87.117647,0.000000,8.046211,0.000000,5,5
"1360",76.334372,209.240816,73.266072,23.373773,0.272348,0.000000,3.087807,75.600468,96.912193,96.639845,73.266072,0.000000,23.373773,0.000000,8,7
"1361",90.554343,179.435102,83.865295,9.261436,0.009752,0.154906,6.708611,90.045589,93.136482,93.126730,83.865295,0.000000,9.261436,-0.000000,4,4
"1362",80.631934,190.145306,77.138985,16.992022,0.964330,1.411714,3.492949,81.117526,95.095337,94.131007,77.138985,0.000000,16.992022,0.000000,7,7
"1364",93.630850,342.360816,93.239808,6.180365,0.015201,0.173585,0.391042,93.769254,99.435373,99.420173,93.239808,0.000000,6.180365,0.000000,9,11
"1366",69.200528,255.764898,66.524282,29.793854,0.555197,0.450421,2.676246,68.671408,96.873333,96.318136,66.524282,0.000000,29.793854,-0.000000,4,4
"1367",70.381449,266.866939,61.134771,22.325014,1.813867,5.479669,9.246678,71.692450,85.273653,83.459786,61.134771,0.000000,22.325014,0.000000,6,11
"1368",60.771512,246.364354,59.616981,36.597608,0.000000,2.630879,1.154531,61.962517,96.214589,96.214589,59.616981,0.000000,36.597608,0.000000,8,8
"1369",95.073174,129.697959,90.622016,4.830527,0.096299,0.000000,4.451158,94.843657,95.548842,95.452543,90.622016,0.000000,4.830527,-0.000000,7,6
