MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",88.608539,107.247000,88.157244,11.365353,0.026108,0.000000,0.451295,77.245716,40.482251,96.309217,59.066454,88.157244,7.043554,0.113756,4.208043,88.157244,1.199101,1.213088,8.953164,3,5
"a_ha/Hunting_High_and_Low/01-Take_On_Me",71.035526,228.000000,67.712281,24.789912,1.687281,2.487281,3.323246,87.958494,52.792544,51.396938,41.396930,67.712281,10.884211,9.424561,4.481140,67.712281,4.331140,9.874123,10.584649,8,13
"abba/Arrival/02-Dancing_Queen",85.701739,230.000000,84.150435,14.186957,0.000000,0.111304,1.551304,84.317913,82.658696,92.191010,15.678696,84.150435,0.618261,11.867391,1.701304,84.150435,0.476522,12.143913,1.566522,7,8
"abba/Live/03-I_Have_A_Dream",96.118413,250.310000,94.117295,1.927610,1.515321,0.438656,2.001119,96.470969,97.560225,-nan,0.000000,94.117295,0.000000,1.792577,0.135033,94.117295,0.000000,1.927610,-0.000000,3,3
"abba/Live/06-Thank_You_for_The_Music",62.051363,209.412000,58.354822,32.902603,4.980135,0.065899,3.696541,72.781689,57.040189,42.962088,39.197372,58.354822,20.675510,7.857238,4.369855,58.354822,16.137566,7.369205,9.395832,11,15
"abba/Live/08-Fernando",91.800309,324.000000,86.010185,3.519136,2.674074,2.006481,5.790123,94.327617,81.927160,84.955699,10.276235,86.010185,1.214198,1.786728,0.518210,86.010185,1.145679,2.136111,0.237346,7,9
"abba/Live/10-Super_Trouper",78.333080,263.000000,74.959696,14.688973,6.977947,0.000000,3.373384,86.306303,75.603042,46.183896,21.023574,74.959696,9.222433,4.703802,0.762738,74.959696,7.510266,4.600760,2.577947,7,9
"ac_dc/Back_In_Black/01-Hells_Bells",30.195018,56.559000,29.151859,34.388868,0.000000,35.416114,1.043158,30.405809,17.776128,51.889198,45.764600,29.151859,22.017716,12.022843,0.348309,29.151859,22.017716,12.371152,0.000000,3,5
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",43.812231,106.961000,43.213882,50.474472,0.000000,5.713297,0.598349,46.125137,93.688354,-nan,0.000000,43.213882,0.030852,37.924103,12.519516,43.213882,0.030852,50.443620,0.000000,2,4
"aerosmith/Nine_Lives/02-Falling_In_Love",17.867499,72.075000,0.000000,40.865765,0.604925,40.661811,17.867499,-nan,0.000000,0.000000,41.470690,0.000000,33.978495,5.111342,1.775928,0.000000,3.594866,0.221991,37.048907,2,7
"alanis_morissette/MTV_Unplugged/08-Ironic",85.137752,243.698000,72.502852,12.909421,1.485035,0.467792,12.634901,81.276198,67.548359,90.971942,19.348948,72.502852,1.743551,7.500267,3.665603,72.502852,0.972105,9.607383,2.329933,7,10
"alanis_morissette/MTV_Unplugged/12-Uninvited",71.117119,92.103000,30.503892,12.965919,1.528723,14.388239,40.613226,62.804340,24.615919,73.808129,20.382615,30.503892,6.531818,6.434101,0.000000,30.503892,5.697969,4.291934,2.976016,3,5
"all_saints/All_Saints/01-Never_Ever",84.088889,387.000000,82.860465,15.188630,0.671318,0.051163,1.228424,88.711304,87.352713,47.227968,11.367700,82.860465,8.620930,3.264858,3.302842,82.860465,7.426615,4.404910,3.357106,7,10
"aqua/Aquarium/05-Doctor_Jones",77.421894,189.294000,74.383235,21.963718,0.000000,0.614388,3.038659,80.716363,83.360804,54.653812,12.986149,74.383235,6.418059,11.219056,4.326603,74.383235,3.268461,13.736833,4.958424,4,10
"backstreet_boys/Millennium/02-I_Want_It_That_Way",89.243712,208.492000,88.777027,9.217620,0.335265,1.203403,0.466685,88.552110,61.429695,93.169470,36.900217,88.777027,3.575677,4.132053,1.509890,88.777027,0.546304,4.780040,3.891276,9,11
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",93.881407,232.864000,92.940944,5.711488,0.100488,0.306617,0.940463,92.598198,61.005565,96.565415,37.747355,92.940944,1.012608,2.061718,2.637162,92.940944,0.219871,3.840010,1.651608,10,11
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",52.476325,218.691000,50.719051,18.797756,28.416350,0.309569,1.757274,47.897671,77.181503,66.264158,20.751654,50.719051,3.924258,6.702608,8.170890,50.719051,2.448203,10.668020,5.681532,12,15
