MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",87.740175,172.863864,85.362621,10.038551,0.000000,2.199446,2.399382,-nan,0.000000,0.000000,0.658188,0.000000,1.633335,92.048192,90.270678,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.316959,-nan,0.000000,-nan,0.000000,90.011227,2.522012,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.974512,5.227181,1.908067,0.700382,0.000000,85.362621,6.582116,1.534914,1.921521,7,9
"1302",19.214066,152.328747,16.576972,80.500554,0.000000,0.252988,2.669486,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.432032,-nan,0.000000,-nan,0.000000,31.285584,52.985976,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,43.659517,16.576972,52.878842,16.951792,8.111834,0.673326,16.576972,61.549766,0.263729,18.687059,7,16
"1305",77.418334,280.118277,77.314968,21.344782,1.173192,0.049736,0.117322,-nan,0.000000,-nan,0.000000,-nan,0.000000,11.276273,4.221087,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.439993,92.088918,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.522937,77.737724,4.517801,2.339035,13.244689,0.820501,77.314968,5.553153,0.721173,15.070456,3,13
"1306",70.097251,144.247435,68.950506,27.101629,2.780999,0.000000,1.166866,-nan,0.000000,0.000000,0.413980,-nan,0.000000,69.249025,95.614999,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.642686,2.804154,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.576335,11.849179,6.057119,6.281283,1.288219,68.950506,5.914680,10.934792,10.252156,10,18
"1309",40.836206,211.202647,38.681351,56.112127,1.220352,1.813450,2.172721,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,40.287270,96.013829,38.681351,25.787275,18.476581,8.101121,3.747149,38.681351,17.526864,10.638373,27.946890,3,16
"1310",57.202407,113.025541,52.895008,39.613125,3.108981,0.031810,4.351075,-nan,0.000000,0.000000,0.882716,0.000000,0.882716,58.777052,49.491413,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,43.148681,3.562456,-nan,0.000000,61.970283,20.494304,-nan,0.000000,-nan,0.000000,0.000000,0.879552,90.267958,10.599424,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,8.824533,55.259173,23.338929,5.785345,8.089431,0.000000,52.895008,10.217476,1.072818,28.322832,13,14
"1311",40.992931,323.683265,40.364170,58.912186,0.052738,0.035868,0.635038,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.830856,49.936586,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,49.392508,40.364170,51.696376,4.733723,1.205176,0.000000,40.364170,52.019191,2.248103,4.644892,3,12
"1312",51.832627,147.644082,41.216916,42.072999,0.000000,6.070783,10.639302,-nan,0.000000,40.625291,4.476663,-nan,0.000000,58.914034,66.874149,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,7.418188,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.520916,41.216916,16.846133,19.277833,3.920253,0.000000,41.216916,12.060367,17.843238,12.169395,8,11
"1313",71.411393,167.444898,69.071836,9.897465,2.195025,16.478784,2.356891,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.219224,57.710728,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.810876,23.453598,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.071836,2.380992,0.053207,7.389183,0.074083,69.071836,1.829630,5.000928,3.066907,4,6
"1318",43.672581,189.092744,43.205953,46.982973,0.159636,9.163849,0.487589,-nan,0.000000,0.000000,1.316442,-nan,0.000000,63.507424,66.665718,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.189136,14.028995,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,8.337407,43.205953,29.040724,11.538864,6.395531,0.007855,43.205953,33.480006,4.358316,9.144651,9,15
