MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",91.654776,107.247000,91.203481,8.320198,0.025025,0.000000,0.451295,84.132620,40.482251,96.746459,59.066454,91.203481,4.354352,1.178023,2.787824,91.203481,0.000000,1.528119,6.792080,3,8
"a_ha/Hunting_High_and_Low/01-Take_On_Me",78.284396,228.000000,75.119769,16.438095,2.631610,2.645899,3.164627,81.880484,52.792544,77.041893,41.396930,75.119769,7.308377,5.375913,3.753805,75.119769,1.573142,6.963329,7.901624,8,7
"abba/Arrival/02-Dancing_Queen",89.975084,230.000000,88.612154,8.945133,0.780105,0.299679,1.362930,88.941016,82.658696,96.275038,15.678696,88.612154,0.079531,7.734926,1.130676,88.612154,0.000000,7.660774,1.284359,7,7
"abba/Live/03-I_Have_A_Dream",93.020446,250.310000,92.899852,4.660374,0.000000,2.319180,0.120594,95.223080,97.560225,-nan,0.000000,92.899852,0.000000,4.591550,0.068824,92.899852,0.000000,4.660374,-0.000000,3,3
"abba/Live/06-Thank_You_for_The_Music",70.984293,209.412000,69.658879,26.373928,0.204753,2.437026,1.325414,74.160281,57.040189,69.794769,39.197372,69.658879,10.576279,8.874852,6.922797,69.658879,5.227490,9.135200,12.011239,11,13
"abba/Live/08-Fernando",91.968335,324.000000,89.298645,2.904750,0.000000,5.126915,2.669690,97.190608,81.927160,94.131169,10.276235,89.298645,0.635793,2.036134,0.232823,89.298645,0.000000,2.092741,0.812009,7,8
"abba/Live/10-Super_Trouper",90.128627,263.000000,86.755243,7.051608,2.819765,0.000000,3.373384,92.073614,75.603042,81.550311,21.023574,86.755243,1.274459,5.420583,0.356565,86.755243,0.020168,5.193546,1.837893,7,7
"ac_dc/Back_In_Black/01-Hells_Bells",56.431967,56.559000,55.569824,7.970903,0.000000,35.597130,0.862142,55.159508,17.776128,100.000000,45.764600,55.569824,3.764050,3.727571,0.479282,55.569824,0.000000,3.955434,4.015469,3,6
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",47.123922,106.961000,46.776581,46.911773,0.000000,5.964305,0.347341,49.927850,93.688354,-nan,0.000000,46.776581,2.373985,36.085533,8.452255,46.776581,2.373985,39.546872,4.990916,2,5
"aerosmith/Nine_Lives/02-Falling_In_Love",24.778290,72.075000,13.869396,27.601294,0.000000,47.620416,10.908894,-nan,0.000000,33.443852,41.470690,13.869396,19.475370,8.125924,0.000000,13.869396,0.350976,3.163648,24.086670,2,7
"alanis_morissette/MTV_Unplugged/08-Ironic",75.115527,243.698000,68.028468,18.868839,0.000000,6.015634,7.087059,75.029484,67.548359,89.654915,19.348948,68.028468,3.692413,10.063457,5.112969,68.028468,0.000000,12.012547,6.856293,7,6
